29.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
12:38:00.21 (21694664)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (28320937)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (28819903)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (29296925)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (29376910)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (29599278)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (29641596)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (29749714)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (31605068)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (35785736)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (39109104)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT id, sf4twitter__Username__c FROM Twitter_Account__c 
12:38:00.21 (44017028)|SOQL_EXECUTE_END|[9]|Rows:1
12:38:00.21 (45228155)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (46235453)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (46253539)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (46296857)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (46330157)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (46359056)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (47907936)|SOQL_EXECUTE_BEGIN|[660]|Aggregations:0|SELECT sf4twitter__Username__c, sf4twitter__Unknown_Twitter_Usernames__c, sf4twitter__Twitter_Max_Twitter__c, sf4twitter__Partial_Twitter_Max_Twitter__c, sf4twitter__Twitter_Max_Message__c, sf4twitter__Partial_Twitter_Max_Message__c, SystemModstamp, sf4twitter__Password__c, OwnerId, Name, LastModifiedDate, LastModifiedById, IsDeleted, Id, sf4twitter__Enable_Auto_Case_Creation__c, CreatedDate, sf4twitter__Active__c, CreatedById, sf4twitter__Bit_ly_Username__c, sf4twitter__Bit_ly_Password__c, sf4twitter__associate_DM__c, sf4twitter__Send_Error_Email__c, sf4twitter__associate_cases_same_username__c, sf4twitter__closed_case_duration__c, sf4twitter__ignore_maxid__c, sf4twitter__Results_Per_Page__c, sf4twitter__OAuth_Secret__c, sf4twitter__OAuth_Token__c, sf4twitter__Tweet_Id_Threshold__c, sf4twitter__Direct_Message_Id_Threshold__c, sf4twitter__Last_Tweet_Ids__c, sf4twitter__Last_DM_Ids__c, sf4twitter__PartialTwitterMinMessage__c, sf4twitter__PartialTwitterMinTweets__c FROM Twitter_Account__c WHERE Id = :tmpVar1 LIMIT 1
12:38:00.21 (57810344)|SOQL_EXECUTE_END|[660]|Rows:1
12:38:00.21 (58149920)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (58247478)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (58859715)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (59643404)|SOQL_EXECUTE_BEGIN|[459]|Aggregations:0|SELECT Id, CreatedById FROM AsyncApexJob WHERE MethodName = :tmpVar1
12:38:00.21 (110563021)|SOQL_EXECUTE_END|[459]|Rows:2124
12:38:00.21 (119379462)|SOQL_EXECUTE_BEGIN|[462]|Aggregations:0|SELECT Id, Username, IsActive FROM User WHERE Id = :tmpVar1
12:38:00.21 (127825909)|SOQL_EXECUTE_END|[462]|Rows:1
12:38:00.21 (130414126)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (130513307)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (132799440)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (132819096)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (132872092)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (132887085)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (132961297)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (133322962)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (139515704)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (139722577)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (140034518)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (140103378)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (140142387)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (140217749)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (141397739)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (148878245)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (150175341)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (150220646)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (150602404)|ENTERING_MANAGED_PKG|sf4twitter
12:38:00.21 (151055862)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT id, sf4twitter__Username__c FROM Twitter_Account__c 
12:38:00.21 (155186495)|SOQL_EXECUTE_END|[9]|Rows:1
